key,value,timestamp,sentence
Neutral,0.3608,"00:32:52,138 --> 00:32:55,390","My CO2 alarm went off."
Positive,0.0753,"00:32:52,138 --> 00:32:55,390","My CO2 alarm went off."
Very Positive,0.0135,"00:32:52,138 --> 00:32:55,390","My CO2 alarm went off."
Very Negative,0.0611,"00:32:52,138 --> 00:32:55,390","My CO2 alarm went off."
Negative,0.4893,"00:32:52,138 --> 00:32:55,390","My CO2 alarm went off."
Neutral,0.3608,"00:32:52,138 --> 00:32:55,390","My CO2 alarm went off."
Positive,0.0753,"00:32:52,138 --> 00:32:55,390","My CO2 alarm went off."
Very Positive,0.0135,"00:32:52,138 --> 00:32:55,390","My CO2 alarm went off."
Very Negative,0.0345,"00:32:55,641 --> 00:32:57,684","KOWALSKI: Look, you need to board the station."
Negative,0.2242,"00:32:55,641 --> 00:32:57,684","KOWALSKI: Look, you need to board the station."
Neutral,0.5176,"00:32:55,641 --> 00:32:57,684","KOWALSKI: Look, you need to board the station."
Positive,0.1926,"00:32:55,641 --> 00:32:57,684","KOWALSKI: Look, you need to board the station."
Very Positive,0.0310,"00:32:55,641 --> 00:32:57,684","KOWALSKI: Look, you need to board the station."
Very Negative,0.0108,"00:32:58,227 --> 00:32:59,853","Do you see the airlock?"
Negative,0.1489,"00:32:58,227 --> 00:32:59,853","Do you see the airlock?"
Neutral,0.7810,"00:32:58,227 --> 00:32:59,853","Do you see the airlock?"
Positive,0.0541,"00:32:58,227 --> 00:32:59,853","Do you see the airlock?"
Very Positive,0.0052,"00:32:58,227 --> 00:32:59,853","Do you see the airlock?"
Very Negative,0.0017,"00:33:09,280 --> 00:33:10,613","Hey, Ryan."
Negative,0.0167,"00:33:09,280 --> 00:33:10,613","Hey, Ryan."
Neutral,0.9042,"00:33:09,280 --> 00:33:10,613","Hey, Ryan."
Positive,0.0747,"00:33:09,280 --> 00:33:10,613","Hey, Ryan."
Very Positive,0.0027,"00:33:09,280 --> 00:33:10,613","Hey, Ryan."
Very Negative,0.0128,"00:33:11,532 --> 00:33:12,907","You copy?"
Negative,0.1916,"00:33:11,532 --> 00:33:12,907","You copy?"
Neutral,0.7521,"00:33:11,532 --> 00:33:12,907","You copy?"
Positive,0.0402,"00:33:11,532 --> 00:33:12,907","You copy?"
Very Positive,0.0034,"00:33:11,532 --> 00:33:12,907","You copy?"
Very Negative,0.0105,"00:33:14,535 --> 00:33:16,244","Look for the airlock."
Negative,0.0928,"00:33:14,535 --> 00:33:16,244","Look for the airlock."
Neutral,0.7981,"00:33:14,535 --> 00:33:16,244","Look for the airlock."
Positive,0.0920,"00:33:14,535 --> 00:33:16,244","Look for the airlock."
Very Positive,0.0067,"00:33:14,535 --> 00:33:16,244","Look for the airlock."
Very Negative,0.0076,"00:33:19,123 --> 00:33:21,833","It's above you, next to the Zarya module."
Negative,0.0144,"00:33:19,123 --> 00:33:21,833","It's above you, next to the Zarya module."
Neutral,0.1624,"00:33:19,123 --> 00:33:21,833","It's above you, next to the Zarya module."
Positive,0.6150,"00:33:19,123 --> 00:33:21,833","It's above you, next to the Zarya module."
Very Positive,0.2006,"00:33:19,123 --> 00:33:21,833","It's above you, next to the Zarya module."
Very Negative,0.0123,"00:33:25,337 --> 00:33:26,629","You see it?"
Negative,0.0931,"00:33:25,337 --> 00:33:26,629","You see it?"
Neutral,0.6626,"00:33:25,337 --> 00:33:26,629","You see it?"
Positive,0.2168,"00:33:25,337 --> 00:33:26,629","You see it?"
Very Positive,0.0153,"00:33:25,337 --> 00:33:26,629","You see it?"
Very Negative,0.0102,"00:33:26,881 --> 00:33:30,175","STONE: Yes."
Negative,0.0593,"00:33:26,881 --> 00:33:30,175","STONE: Yes."
Neutral,0.6729,"00:33:26,881 --> 00:33:30,175","STONE: Yes."
Positive,0.2364,"00:33:26,881 --> 00:33:30,175","STONE: Yes."
Very Positive,0.0212,"00:33:26,881 --> 00:33:30,175","STONE: Yes."
Very Negative,0.0099,"00:33:26,881 --> 00:33:30,175","Yes, I see it."
Negative,0.0366,"00:33:26,881 --> 00:33:30,175","Yes, I see it."
Neutral,0.0463,"00:33:26,881 --> 00:33:30,175","Yes, I see it."
Positive,0.7891,"00:33:26,881 --> 00:33:30,175","Yes, I see it."
Very Positive,0.1180,"00:33:26,881 --> 00:33:30,175","Yes, I see it."
Very Negative,0.0079,"00:33:26,881 --> 00:33:30,175","I see it."
Negative,0.0238,"00:33:26,881 --> 00:33:30,175","I see it."
Neutral,0.2408,"00:33:26,881 --> 00:33:30,175","I see it."
Positive,0.6329,"00:33:26,881 --> 00:33:30,175","I see it."
Very Positive,0.0946,"00:33:26,881 --> 00:33:30,175","I see it."
Very Negative,0.0016,"00:33:30,426 --> 00:33:33,219","KOWALSKI: All right, good."
Negative,0.0019,"00:33:30,426 --> 00:33:33,219","KOWALSKI: All right, good."
Neutral,0.0147,"00:33:30,426 --> 00:33:33,219","KOWALSKI: All right, good."
Positive,0.7199,"00:33:30,426 --> 00:33:33,219","KOWALSKI: All right, good."
Very Positive,0.2619,"00:33:30,426 --> 00:33:33,219","KOWALSKI: All right, good."
Very Negative,0.0525,"00:33:30,426 --> 00:33:33,219","That's where you wanna go."
Negative,0.4388,"00:33:30,426 --> 00:33:33,219","That's where you wanna go."
Neutral,0.4485,"00:33:30,426 --> 00:33:33,219","That's where you wanna go."
Positive,0.0512,"00:33:30,426 --> 00:33:33,219","That's where you wanna go."
Very Positive,0.0090,"00:33:30,426 --> 00:33:33,219","That's where you wanna go."
Very Negative,0.0189,"00:33:33,679 --> 00:33:35,805","Now you're getting light-headed, right?"
Negative,0.1816,"00:33:33,679 --> 00:33:35,805","Now you're getting light-headed, right?"
Neutral,0.6693,"00:33:33,679 --> 00:33:35,805","Now you're getting light-headed, right?"
Positive,0.1169,"00:33:33,679 --> 00:33:35,805","Now you're getting light-headed, right?"
Very Positive,0.0133,"00:33:33,679 --> 00:33:35,805","Now you're getting light-headed, right?"
Very Negative,0.0157,"00:33:36,056 --> 00:33:37,682","Yeah."
Negative,0.0584,"00:33:36,056 --> 00:33:37,682","Yeah."
Neutral,0.6354,"00:33:36,056 --> 00:33:37,682","Yeah."
Positive,0.2461,"00:33:36,056 --> 00:33:37,682","Yeah."
Very Positive,0.0444,"00:33:36,056 --> 00:33:37,682","Yeah."
Very Negative,0.0072,"00:33:36,056 --> 00:33:37,682","Yes."
Negative,0.0476,"00:33:36,056 --> 00:33:37,682","Yes."
Neutral,0.6935,"00:33:36,056 --> 00:33:37,682","Yes."
Positive,0.2373,"00:33:36,056 --> 00:33:37,682","Yes."
Very Positive,0.0145,"00:33:36,056 --> 00:33:37,682","Yes."
Very Negative,0.0871,"00:33:38,434 --> 00:33:40,268","KOWALSKI: That's because you're breathing CO2."
Negative,0.3463,"00:33:38,434 --> 00:33:40,268","KOWALSKI: That's because you're breathing CO2."
Neutral,0.2866,"00:33:38,434 --> 00:33:40,268","KOWALSKI: That's because you're breathing CO2."
Positive,0.2173,"00:33:38,434 --> 00:33:40,268","KOWALSKI: That's because you're breathing CO2."
Very Positive,0.0627,"00:33:38,434 --> 00:33:40,268","KOWALSKI: That's because you're breathing CO2."
Very Negative,0.0790,"00:33:40,519 --> 00:33:42,270","You're losing consciousness."
Negative,0.5219,"00:33:40,519 --> 00:33:42,270","You're losing consciousness."
Neutral,0.3255,"00:33:40,519 --> 00:33:42,270","You're losing consciousness."
Positive,0.0609,"00:33:40,519 --> 00:33:42,270","You're losing consciousness."
Very Positive,0.0127,"00:33:40,519 --> 00:33:42,270","You're losing consciousness."
Very Negative,0.0183,"00:33:42,521 --> 00:33:44,063","You need to board the station."
Negative,0.1636,"00:33:42,521 --> 00:33:44,063","You need to board the station."
Neutral,0.6694,"00:33:42,521 --> 00:33:44,063","You need to board the station."
Positive,0.1380,"00:33:42,521 --> 00:33:44,063","You need to board the station."
Very Positive,0.0107,"00:33:42,521 --> 00:33:44,063","You need to board the station."
Very Negative,0.0241,"00:33:44,315 --> 00:33:45,398","Okay."
Negative,0.1214,"00:33:44,315 --> 00:33:45,398","Okay."
Neutral,0.5845,"00:33:44,315 --> 00:33:45,398","Okay."
Positive,0.2342,"00:33:44,315 --> 00:33:45,398","Okay."
Very Positive,0.0358,"00:33:44,315 --> 00:33:45,398","Okay."
Very Negative,0.1131,"00:33:45,983 --> 00:33:48,902","KOWALSKI: That second Soyuz is too damaged for reentry..."
Negative,0.6144,"00:33:45,983 --> 00:33:48,902","KOWALSKI: That second Soyuz is too damaged for reentry..."
Neutral,0.2417,"00:33:45,983 --> 00:33:48,902","KOWALSKI: That second Soyuz is too damaged for reentry..."
Positive,0.0234,"00:33:45,983 --> 00:33:48,902","KOWALSKI: That second Soyuz is too damaged for reentry..."
Very Positive,0.0075,"00:33:45,983 --> 00:33:48,902","KOWALSKI: That second Soyuz is too damaged for reentry..."
Very Negative,0.0132,"00:33:49,153 --> 00:33:51,946","...but it's perfectly fine for a little Sunday drive."
Negative,0.0259,"00:33:49,153 --> 00:33:51,946","...but it's perfectly fine for a little Sunday drive."
Neutral,0.0608,"00:33:49,153 --> 00:33:51,946","...but it's perfectly fine for a little Sunday drive."
Positive,0.6585,"00:33:49,153 --> 00:33:51,946","...but it's perfectly fine for a little Sunday drive."
Very Positive,0.2416,"00:33:49,153 --> 00:33:51,946","...but it's perfectly fine for a little Sunday drive."
Very Negative,0.0016,"00:33:52,198 --> 00:33:53,573","Sunday drive?"
Negative,0.0282,"00:33:52,198 --> 00:33:53,573","Sunday drive?"
Neutral,0.9593,"00:33:52,198 --> 00:33:53,573","Sunday drive?"
Positive,0.0102,"00:33:52,198 --> 00:33:53,573","Sunday drive?"
Very Positive,0.0007,"00:33:52,198 --> 00:33:53,573","Sunday drive?"
Very Negative,0.0255,"00:33:54,074 --> 00:33:55,575","KOWALSKI: Look to the west."
Negative,0.1608,"00:33:54,074 --> 00:33:55,575","KOWALSKI: Look to the west."
Neutral,0.5946,"00:33:54,074 --> 00:33:55,575","KOWALSKI: Look to the west."
Positive,0.1952,"00:33:54,074 --> 00:33:55,575","KOWALSKI: Look to the west."
Very Positive,0.0239,"00:33:54,074 --> 00:33:55,575","KOWALSKI: Look to the west."
Very Negative,0.0227,"00:33:57,036 --> 00:33:59,120","You see that dot in the distance?"
Negative,0.1757,"00:33:57,036 --> 00:33:59,120","You see that dot in the distance?"
Neutral,0.6070,"00:33:57,036 --> 00:33:59,120","You see that dot in the distance?"
Positive,0.1769,"00:33:57,036 --> 00:33:59,120","You see that dot in the distance?"
Very Positive,0.0177,"00:33:57,036 --> 00:33:59,120","You see that dot in the distance?"
Very Negative,0.0032,"00:33:59,371 --> 00:34:00,788","That's a Chinese station."
Negative,0.0269,"00:33:59,371 --> 00:34:00,788","That's a Chinese station."
Neutral,0.8473,"00:33:59,371 --> 00:34:00,788","That's a Chinese station."
Positive,0.1181,"00:33:59,371 --> 00:34:00,788","That's a Chinese station."
Very Positive,0.0046,"00:33:59,371 --> 00:34:00,788","That's a Chinese station."
Very Negative,0.0102,"00:34:01,040 --> 00:34:01,789","STONE: Yes."
Negative,0.0593,"00:34:01,040 --> 00:34:01,789","STONE: Yes."
Neutral,0.6729,"00:34:01,040 --> 00:34:01,789","STONE: Yes."
Positive,0.2364,"00:34:01,040 --> 00:34:01,789","STONE: Yes."
Very Positive,0.0212,"00:34:01,040 --> 00:34:01,789","STONE: Yes."
Very Negative,0.1906,"00:34:02,041 --> 00:34:05,084","KOWALSKI: You're gonna take the Soyuz, and you're gonna cruise over there."
Negative,0.5630,"00:34:02,041 --> 00:34:05,084","KOWALSKI: You're gonna take the Soyuz, and you're gonna cruise over there."
Neutral,0.2168,"00:34:02,041 --> 00:34:05,084","KOWALSKI: You're gonna take the Soyuz, and you're gonna cruise over there."
Positive,0.0184,"00:34:02,041 --> 00:34:05,084","KOWALSKI: You're gonna take the Soyuz, and you're gonna cruise over there."
Very Positive,0.0113,"00:34:02,041 --> 00:34:05,084","KOWALSKI: You're gonna take the Soyuz, and you're gonna cruise over there."
Very Negative,0.0315,"00:34:06,212 --> 00:34:08,880","Chinese lifeboat is a Shenzhou."
Negative,0.2321,"00:34:06,212 --> 00:34:08,880","Chinese lifeboat is a Shenzhou."
Neutral,0.5752,"00:34:06,212 --> 00:34:08,880","Chinese lifeboat is a Shenzhou."
Positive,0.1425,"00:34:06,212 --> 00:34:08,880","Chinese lifeboat is a Shenzhou."
Very Positive,0.0186,"00:34:06,212 --> 00:34:08,880","Chinese lifeboat is a Shenzhou."
Very Negative,0.0859,"00:34:09,423 --> 00:34:10,840","I've never flown a Shenzhou."
Negative,0.4809,"00:34:09,423 --> 00:34:10,840","I've never flown a Shenzhou."
Neutral,0.3057,"00:34:09,423 --> 00:34:10,840","I've never flown a Shenzhou."
Positive,0.1043,"00:34:09,423 --> 00:34:10,840","I've never flown a Shenzhou."
Very Positive,0.0232,"00:34:09,423 --> 00:34:10,840","I've never flown a Shenzhou."
Very Negative,0.0479,"00:34:11,091 --> 00:34:12,133","KOWALSKI: It doesn't matter."
Negative,0.3020,"00:34:11,091 --> 00:34:12,133","KOWALSKI: It doesn't matter."
Neutral,0.4726,"00:34:11,091 --> 00:34:12,133","KOWALSKI: It doesn't matter."
Positive,0.1483,"00:34:11,091 --> 00:34:12,133","KOWALSKI: It doesn't matter."
Very Positive,0.0292,"00:34:11,091 --> 00:34:12,133","KOWALSKI: It doesn't matter."
Very Negative,0.0764,"00:34:12,384 --> 00:34:15,678","Its reentry protocol is identical to the Soyuz."
Negative,0.3499,"00:34:12,384 --> 00:34:15,678","Its reentry protocol is identical to the Soyuz."
Neutral,0.2895,"00:34:12,384 --> 00:34:15,678","Its reentry protocol is identical to the Soyuz."
Positive,0.2277,"00:34:12,384 --> 00:34:15,678","Its reentry protocol is identical to the Soyuz."
Very Positive,0.0565,"00:34:12,384 --> 00:34:15,678","Its reentry protocol is identical to the Soyuz."
Very Negative,0.0241,"00:34:16,639 --> 00:34:17,931","Okay."
Negative,0.1214,"00:34:16,639 --> 00:34:17,931","Okay."
Neutral,0.5845,"00:34:16,639 --> 00:34:17,931","Okay."
Positive,0.2342,"00:34:16,639 --> 00:34:17,931","Okay."
Very Positive,0.0358,"00:34:16,639 --> 00:34:17,931","Okay."
Very Negative,0.0492,"00:34:19,767 --> 00:34:22,101","KOWALSKI: You never flown the Soyuz either?"
Negative,0.3746,"00:34:19,767 --> 00:34:22,101","KOWALSKI: You never flown the Soyuz either?"
Neutral,0.4991,"00:34:19,767 --> 00:34:22,101","KOWALSKI: You never flown the Soyuz either?"
Positive,0.0621,"00:34:19,767 --> 00:34:22,101","KOWALSKI: You never flown the Soyuz either?"
Very Positive,0.0151,"00:34:19,767 --> 00:34:22,101","KOWALSKI: You never flown the Soyuz either?"
Very Negative,0.0225,"00:34:22,436 --> 00:34:24,062","Only a simulator."
Negative,0.2501,"00:34:22,436 --> 00:34:24,062","Only a simulator."
Neutral,0.6845,"00:34:22,436 --> 00:34:24,062","Only a simulator."
Positive,0.0376,"00:34:22,436 --> 00:34:24,062","Only a simulator."
Very Positive,0.0052,"00:34:22,436 --> 00:34:24,062","Only a simulator."
Very Negative,0.0667,"00:34:24,563 --> 00:34:26,189","KOWALSKI: Well, then you know."
Negative,0.4116,"00:34:24,563 --> 00:34:26,189","KOWALSKI: Well, then you know."
Neutral,0.3979,"00:34:24,563 --> 00:34:26,189","KOWALSKI: Well, then you know."
Positive,0.0992,"00:34:24,563 --> 00:34:26,189","KOWALSKI: Well, then you know."
Very Positive,0.0246,"00:34:24,563 --> 00:34:26,189","KOWALSKI: Well, then you know."
Very Negative,0.0578,"00:34:28,734 --> 00:34:30,068","But I crashed it."
Negative,0.1995,"00:34:28,734 --> 00:34:30,068","But I crashed it."
Neutral,0.1173,"00:34:28,734 --> 00:34:30,068","But I crashed it."
Positive,0.5260,"00:34:28,734 --> 00:34:30,068","But I crashed it."
Very Positive,0.0994,"00:34:28,734 --> 00:34:30,068","But I crashed it."
Very Negative,0.1754,"00:34:30,319 --> 00:34:33,196","KOWALSKI: It's a simulator, that's what it's designed for."
Negative,0.5365,"00:34:30,319 --> 00:34:33,196","KOWALSKI: It's a simulator, that's what it's designed for."
Neutral,0.2142,"00:34:30,319 --> 00:34:33,196","KOWALSKI: It's a simulator, that's what it's designed for."
Positive,0.0494,"00:34:30,319 --> 00:34:33,196","KOWALSKI: It's a simulator, that's what it's designed for."
Very Positive,0.0244,"00:34:30,319 --> 00:34:33,196","KOWALSKI: It's a simulator, that's what it's designed for."
Very Negative,0.0023,"00:34:35,991 --> 00:34:37,242","Every time."
Negative,0.0178,"00:34:35,991 --> 00:34:37,242","Every time."
Neutral,0.9345,"00:34:35,991 --> 00:34:37,242","Every time."
Positive,0.0430,"00:34:35,991 --> 00:34:37,242","Every time."
Very Positive,0.0025,"00:34:35,991 --> 00:34:37,242","Every time."
Very Negative,0.0558,"00:34:37,618 --> 00:34:39,410","I crashed it every time."
Negative,0.1695,"00:34:37,618 --> 00:34:39,410","I crashed it every time."
Neutral,0.2541,"00:34:37,618 --> 00:34:39,410","I crashed it every time."
Positive,0.4024,"00:34:37,618 --> 00:34:39,410","I crashed it every time."
Very Positive,0.1183,"00:34:37,618 --> 00:34:39,410","I crashed it every time."
Very Negative,0.0655,"00:34:39,662 --> 00:34:42,914","KOWALSKI: You point the damn thing at Earth."
Negative,0.3924,"00:34:39,662 --> 00:34:42,914","KOWALSKI: You point the damn thing at Earth."
Neutral,0.4020,"00:34:39,662 --> 00:34:42,914","KOWALSKI: You point the damn thing at Earth."
Positive,0.1129,"00:34:39,662 --> 00:34:42,914","KOWALSKI: You point the damn thing at Earth."
Very Positive,0.0272,"00:34:39,662 --> 00:34:42,914","KOWALSKI: You point the damn thing at Earth."
Very Negative,0.0874,"00:34:39,662 --> 00:34:42,914","It's not rocket science."
Negative,0.5027,"00:34:39,662 --> 00:34:42,914","It's not rocket science."
Neutral,0.3593,"00:34:39,662 --> 00:34:42,914","It's not rocket science."
Positive,0.0403,"00:34:39,662 --> 00:34:42,914","It's not rocket science."
Very Positive,0.0103,"00:34:39,662 --> 00:34:42,914","It's not rocket science."
Very Negative,0.1591,"00:34:43,791 --> 00:34:47,794","And by this time tomorrow, you're gonna be back in Lake Zurich with a hell of a story to tell."
Negative,0.7111,"00:34:43,791 --> 00:34:47,794","And by this time tomorrow, you're gonna be back in Lake Zurich with a hell of a story to tell."
Neutral,0.0745,"00:34:43,791 --> 00:34:47,794","And by this time tomorrow, you're gonna be back in Lake Zurich with a hell of a story to tell."
Positive,0.0433,"00:34:43,791 --> 00:34:47,794","And by this time tomorrow, you're gonna be back in Lake Zurich with a hell of a story to tell."
Very Positive,0.0120,"00:34:43,791 --> 00:34:47,794","And by this time tomorrow, you're gonna be back in Lake Zurich with a hell of a story to tell."
Very Negative,0.0128,"00:34:48,796 --> 00:34:50,129","You copy?"
Negative,0.1916,"00:34:48,796 --> 00:34:50,129","You copy?"
Neutral,0.7521,"00:34:48,796 --> 00:34:50,129","You copy?"
Positive,0.0402,"00:34:48,796 --> 00:34:50,129","You copy?"
Very Positive,0.0034,"00:34:48,796 --> 00:34:50,129","You copy?"
Very Negative,0.0024,"00:34:51,757 --> 00:34:53,299","Ryan, you copy?"
Negative,0.0271,"00:34:51,757 --> 00:34:53,299","Ryan, you copy?"
Neutral,0.9303,"00:34:51,757 --> 00:34:53,299","Ryan, you copy?"
Positive,0.0375,"00:34:51,757 --> 00:34:53,299","Ryan, you copy?"
Very Positive,0.0027,"00:34:51,757 --> 00:34:53,299","Ryan, you copy?"
Very Negative,0.1207,"00:34:53,550 --> 00:34:56,261","- I'm gonna take the Soyuz and come get you."
Negative,0.6139,"00:34:53,550 --> 00:34:56,261","- I'm gonna take the Soyuz and come get you."
Neutral,0.1736,"00:34:53,550 --> 00:34:56,261","- I'm gonna take the Soyuz and come get you."
Positive,0.0736,"00:34:53,550 --> 00:34:56,261","- I'm gonna take the Soyuz and come get you."
Very Positive,0.0182,"00:34:53,550 --> 00:34:56,261","- I'm gonna take the Soyuz and come get you."
Very Negative,0.0747,"00:34:53,550 --> 00:34:56,261","KOWALSKI: No, you're not."
Negative,0.4642,"00:34:53,550 --> 00:34:56,261","KOWALSKI: No, you're not."
Neutral,0.4022,"00:34:53,550 --> 00:34:56,261","KOWALSKI: No, you're not."
Positive,0.0445,"00:34:53,550 --> 00:34:56,261","KOWALSKI: No, you're not."
Very Positive,0.0143,"00:34:53,550 --> 00:34:56,261","KOWALSKI: No, you're not."
Very Negative,0.0683,"00:34:56,512 --> 00:34:59,180","- I'm coming to get you."
Negative,0.4547,"00:34:56,512 --> 00:34:59,180","- I'm coming to get you."
Neutral,0.3261,"00:34:56,512 --> 00:34:59,180","- I'm coming to get you."
Positive,0.1318,"00:34:56,512 --> 00:34:59,180","- I'm coming to get you."
Very Positive,0.0191,"00:34:56,512 --> 00:34:59,180","- I'm coming to get you."
Very Negative,0.1918,"00:34:56,512 --> 00:34:59,180","KOWALSKI: I've got too much of a head start."
Negative,0.4996,"00:34:56,512 --> 00:34:59,180","KOWALSKI: I've got too much of a head start."
Neutral,0.2474,"00:34:56,512 --> 00:34:59,180","KOWALSKI: I've got too much of a head start."
Positive,0.0415,"00:34:56,512 --> 00:34:59,180","KOWALSKI: I've got too much of a head start."
Very Positive,0.0198,"00:34:56,512 --> 00:34:59,180","KOWALSKI: I've got too much of a head start."
Very Negative,0.0683,"00:34:59,431 --> 00:35:02,850","- I'm coming to get you."
Negative,0.4547,"00:34:59,431 --> 00:35:02,850","- I'm coming to get you."
Neutral,0.3261,"00:34:59,431 --> 00:35:02,850","- I'm coming to get you."
Positive,0.1318,"00:34:59,431 --> 00:35:02,850","- I'm coming to get you."
Very Positive,0.0191,"00:34:59,431 --> 00:35:02,850","- I'm coming to get you."
Very Negative,0.0485,"00:34:59,431 --> 00:35:02,850","KOWALSKI: I'm afraid that ship already sailed."
Negative,0.3119,"00:34:59,431 --> 00:35:02,850","KOWALSKI: I'm afraid that ship already sailed."
Neutral,0.4786,"00:34:59,431 --> 00:35:02,850","KOWALSKI: I'm afraid that ship already sailed."
Positive,0.1341,"00:34:59,431 --> 00:35:02,850","KOWALSKI: I'm afraid that ship already sailed."
Very Positive,0.0270,"00:34:59,431 --> 00:35:02,850","KOWALSKI: I'm afraid that ship already sailed."
Very Negative,0.0331,"00:35:03,686 --> 00:35:06,062","Ryan, you're gonna have to learn to let go."
Negative,0.2637,"00:35:03,686 --> 00:35:06,062","Ryan, you're gonna have to learn to let go."
Neutral,0.6317,"00:35:03,686 --> 00:35:06,062","Ryan, you're gonna have to learn to let go."
Positive,0.0608,"00:35:03,686 --> 00:35:06,062","Ryan, you're gonna have to learn to let go."
Very Positive,0.0107,"00:35:03,686 --> 00:35:06,062","Ryan, you're gonna have to learn to let go."
Very Negative,0.0193,"00:35:06,939 --> 00:35:08,564","- But I.."
Negative,0.1591,"00:35:06,939 --> 00:35:08,564","- But I.."
Neutral,0.6694,"00:35:06,939 --> 00:35:08,564","- But I.."
Positive,0.1408,"00:35:06,939 --> 00:35:08,564","- But I.."
Very Positive,0.0114,"00:35:06,939 --> 00:35:08,564","- But I.."
Very Negative,0.0004,"00:35:06,939 --> 00:35:08,564","."
Negative,0.0012,"00:35:06,939 --> 00:35:08,564","."
Neutral,0.9965,"00:35:06,939 --> 00:35:08,564","."
Positive,0.0013,"00:35:06,939 --> 00:35:08,564","."
Very Positive,0.0005,"00:35:06,939 --> 00:35:08,564","."
Very Negative,0.0872,"00:35:06,939 --> 00:35:08,564","KOWALSKI: I wanna hear you say..."
Negative,0.5179,"00:35:06,939 --> 00:35:08,564","KOWALSKI: I wanna hear you say..."
Neutral,0.2891,"00:35:06,939 --> 00:35:08,564","KOWALSKI: I wanna hear you say..."
Positive,0.0815,"00:35:06,939 --> 00:35:08,564","KOWALSKI: I wanna hear you say..."
Very Positive,0.0243,"00:35:06,939 --> 00:35:08,564","KOWALSKI: I wanna hear you say..."
Very Negative,0.0936,"00:35:08,816 --> 00:35:09,816","...you're gonna make it."
Negative,0.4891,"00:35:08,816 --> 00:35:09,816","...you're gonna make it."
Neutral,0.3072,"00:35:08,816 --> 00:35:09,816","...you're gonna make it."
Positive,0.0854,"00:35:08,816 --> 00:35:09,816","...you're gonna make it."
Very Positive,0.0246,"00:35:08,816 --> 00:35:09,816","...you're gonna make it."
Very Negative,0.0509,"00:35:11,819 --> 00:35:13,528","Come on, Ryan, say it."
Negative,0.2593,"00:35:11,819 --> 00:35:13,528","Come on, Ryan, say it."
Neutral,0.2814,"00:35:11,819 --> 00:35:13,528","Come on, Ryan, say it."
Positive,0.3456,"00:35:11,819 --> 00:35:13,528","Come on, Ryan, say it."
Very Positive,0.0629,"00:35:11,819 --> 00:35:13,528","Come on, Ryan, say it."
Very Negative,0.1073,"00:35:15,406 --> 00:35:16,823","I'm gonna make it."
Negative,0.4383,"00:35:15,406 --> 00:35:16,823","I'm gonna make it."
Neutral,0.2462,"00:35:15,406 --> 00:35:16,823","I'm gonna make it."
Positive,0.1592,"00:35:15,406 --> 00:35:16,823","I'm gonna make it."
Very Positive,0.0489,"00:35:15,406 --> 00:35:16,823","I'm gonna make it."
Very Negative,0.0098,"00:35:17,074 --> 00:35:18,950","KOWALSKI: All right."
Negative,0.0399,"00:35:17,074 --> 00:35:18,950","KOWALSKI: All right."
Neutral,0.2908,"00:35:17,074 --> 00:35:18,950","KOWALSKI: All right."
Positive,0.5972,"00:35:17,074 --> 00:35:18,950","KOWALSKI: All right."
Very Positive,0.0622,"00:35:17,074 --> 00:35:18,950","KOWALSKI: All right."
Very Negative,0.0232,"00:35:17,074 --> 00:35:18,950","Keep going."
Negative,0.1431,"00:35:17,074 --> 00:35:18,950","Keep going."
Neutral,0.5826,"00:35:17,074 --> 00:35:18,950","Keep going."
Positive,0.2249,"00:35:17,074 --> 00:35:18,950","Keep going."
Very Positive,0.0262,"00:35:17,074 --> 00:35:18,950","Keep going."
Very Negative,0.0091,"00:35:20,160 --> 00:35:23,204","What kind of a name is Ryan for a girl?"
Negative,0.0554,"00:35:20,160 --> 00:35:23,204","What kind of a name is Ryan for a girl?"
Neutral,0.4066,"00:35:20,160 --> 00:35:23,204","What kind of a name is Ryan for a girl?"
Positive,0.5004,"00:35:20,160 --> 00:35:23,204","What kind of a name is Ryan for a girl?"
Very Positive,0.0286,"00:35:20,160 --> 00:35:23,204","What kind of a name is Ryan for a girl?"
Very Negative,0.0060,"00:35:24,748 --> 00:35:26,374","Dad wanted a boy."
Negative,0.0593,"00:35:24,748 --> 00:35:26,374","Dad wanted a boy."
Neutral,0.8591,"00:35:24,748 --> 00:35:26,374","Dad wanted a boy."
Positive,0.0713,"00:35:24,748 --> 00:35:26,374","Dad wanted a boy."
Very Positive,0.0043,"00:35:24,748 --> 00:35:26,374","Dad wanted a boy."
Very Negative,0.0303,"00:35:26,875 --> 00:35:28,918","KOWALSKI: Are you close to the airlock?"
Negative,0.3027,"00:35:26,875 --> 00:35:28,918","KOWALSKI: Are you close to the airlock?"
Neutral,0.5691,"00:35:26,875 --> 00:35:28,918","KOWALSKI: Are you close to the airlock?"
Positive,0.0857,"00:35:26,875 --> 00:35:28,918","KOWALSKI: Are you close to the airlock?"
Very Positive,0.0123,"00:35:26,875 --> 00:35:28,918","KOWALSKI: Are you close to the airlock?"
Very Negative,0.0140,"00:35:29,712 --> 00:35:30,920","Not yet."
Negative,0.1467,"00:35:29,712 --> 00:35:30,920","Not yet."
Neutral,0.7920,"00:35:29,712 --> 00:35:30,920","Not yet."
Positive,0.0449,"00:35:29,712 --> 00:35:30,920","Not yet."
Very Positive,0.0025,"00:35:29,712 --> 00:35:30,920","Not yet."
